x,Y_H2O,Y_H2,Y_O2,Y_H,Y_OH,Y_HO2,rho,u,T,Y_H2O2,Y_AR,Y_N2,Y_O,p
0.0457855361596,0.08597485457839,0.00202820620305,0.01226660067723,0.0005212277395,0.01015669307868,9.9288637e-07,0.30077193225594,76.20763354709744,2650.5469824557754,0.0,0.88589396993451,0.0,0.00315745490226,196521.71533857915
0.04608478802993,0.08598663675748,0.00202679544761,0.01227249951616,0.0005212154368,0.01014348589535,2.4839887e-06,0.30103315687321,76.4491144007531,2648.4269788033766,1.37878102e-06,0.88588917201792,0.0,0.00315633215896,196530.1162816183
0.04638403990025,0.08597422935404,0.00202741825201,0.01228133644102,0.00052177923146,0.01014675087026,2.45490268e-06,0.30107088966904,76.6959361786737,2648.1182278111614,1.37854837e-06,0.88588470587904,0.0,0.00315994652111,196536.8800038376
0.04668329177057,0.08594567279997,0.00202983729645,0.01228982331249,0.00052304310183,0.01015389423041,1.01193299e-06,0.30107912234533,76.95018536187351,2647.965354190542,0.0,0.88589038052984,0.0,0.00316633679602,196544.192276083
0.0469825436409,0.08592720484956,0.00203172498769,0.01229233447537,0.00052400602843,0.01015775060765,1.03858906e-06,0.30110808502387,77.21476640034705,2647.652453482584,0.0,0.88589535720598,0.0,0.00317058325625,196550.22737292273
0.04728179551122,0.08592550991329,0.00203189495286,0.01229334732605,0.00052440410305,0.01015226010009,2.47439418e-06,0.3012544623098,77.48740149810064,2646.440797547766,1.37601433e-06,0.88589733072246,0.0,0.00317140247369,196557.67882325832
0.04758104738155,0.08592733352427,0.00203168794321,0.01229909748214,0.00052485552947,0.01014069291541,2.43877153e-06,0.30151184790346,77.75560867064767,2644.346941906978,1.37357796e-06,0.88590060403853,0.0,0.00317191621748,196570.35504497137
0.04788029925187,0.08592025802657,0.00203191645059,0.01231168378661,0.00052533593317,0.01014022943642,1.06555775e-06,0.30160937310943,78.01395389117123,2643.6299408073182,0.0,0.88589463144387,0.0,0.00317487936502,196583.99588288524
0.04817955112219,0.08587868124107,0.00203331199597,0.01232923578998,0.00052646998089,0.01015267406523,1.08628028e-06,0.30157297024222,78.27535952763736,2643.8700183527876,0.0,0.88589520726847,0.0,0.00318333337811,196586.95562052928
0.04847880299252,0.08582513841666,0.00203549595445,0.01234817600495,0.0005280739149,0.01016922203007,2.47226583e-06,0.30151651899705,78.56371105585299,2644.1048033729735,1.37364906e-06,0.88589558375295,0.0,0.00319446401112,196581.28479169137
0.04877805486284,0.08580064382914,0.00203718968206,0.01236639429739,0.00052927681158,0.01018148054798,2.4684704e-06,0.30148945443514,78.91281628111419,2644.1360847052974,1.3740294e-06,0.88587826372076,0.0,0.0032029086113,196579.60641750507
0.04907730673317,0.08581498612206,0.00203728844472,0.01237815357205,0.00052960533702,0.01018258764943,2.46759039e-06,0.30156076057376,79.33648498526522,2643.5065816171764,1.37399102e-06,0.88584812381197,0.0,0.00320541348134,196585.9543283376
0.04937655860349,0.08585048701224,0.00203593285555,0.01238511764601,0.00052938390481,0.0101697367317,2.45652755e-06,0.30179822414745,79.80130417136364,2641.6108342975463,1.37253996e-06,0.88582237702883,0.0,0.00320313575334,196598.03121130625
0.04967581047382,0.08589163074357,0.00203384466662,0.0123894618575,0.00052893508073,0.01014920297174,2.44021131e-06,0.30212020438973,80.25003450462472,2638.990774289759,1.37019162e-06,0.8858045285904,0.0,0.0031985856865,196605.9414005582
0.04997506234414,0.08592819210537,0.00203150057229,0.01239460243106,0.00052851995619,0.01012557253541,2.42201358e-06,0.30248100841245,80.63810257621877,2635.943195383572,1.36731508e-06,0.885793942086,0.0,0.00319388098501,196604.5783305755
0.05027431421446,0.08594853505887,0.00202973126094,0.01240483032726,0.0005283920755,0.01010723919437,1.18727367e-06,0.30278041117745,80.96419302801934,2633.372946713943,0.0,0.88578843351673,0.0,0.00319165129266,196600.6721593092
0.05057356608479,0.08592731523241,0.00202983630722,0.01241579663587,0.0005288455289,0.01011003961771,1.22075474e-06,0.30280372668104,81.2443994349135,2633.1154898384925,0.0,0.88579170817194,0.0,0.0031952377512,196597.50575449772
0.05087281795511,0.08584239884105,0.00203272613135,0.01242481905316,0.00053068568022,0.01012480090578,2.42690041e-06,0.30275616444842,81.49610735786509,2633.454903775556,1.36421551e-06,0.88583469627617,0.0,0.00320608199635,196602.1422301764
0.05117206982544,0.08574942418195,0.00203774179776,0.01242841353669,0.00053313426851,0.01014117031715,1.18232855e-06,0.3026970744547,81.74967114965865,2634.045096888144,0.0,0.88589088282241,0.0,0.00321805074698,196627.03588602343
0.05147132169576,0.08571325529246,0.00204216852515,0.01242197722621,0.00053499405387,0.01015178351962,2.44846596e-06,0.30269834653735,82.01115073680849,2634.1579038818345,1.36303229e-06,0.88590663809398,0.0,0.00322537179046,196658.7967868973
0.05177057356608,0.08571298968873,0.00204382427975,0.01241776958304,0.0005357113429,0.0101486904152,2.41625142e-06,0.30284643288788,82.28427340731399,2633.342853706722,1.36212619e-06,0.88591071323368,0.0,0.00322652307908,196703.26282925703
0.05206982543641,0.08571889625464,0.00204406264923,0.01241948657899,0.00053613289614,0.01013685672802,1.21306199e-06,0.30313655316163,82.56456307868216,2631.5283181277023,0.0,0.88591727059418,0.0,0.00322608123682,196757.83538897833
0.05236907730673,0.08572021235596,0.00204434885503,0.01242152261739,0.0005366590509,0.01012934151305,2.42810741e-06,0.30340055970489,82.85224470871283,2629.9217950582306,1.35906992e-06,0.88591709209034,0.0,0.00322703634001,196812.2932639717
0.05266832917706,0.08570345856261,0.00204571986809,0.01243339915649,0.00053748140657,0.01013692712365,1.22191612e-06,0.30346829213525,83.14573355313627,2630.052368608491,0.0,0.88590942293588,0.0,0.00323236903058,196875.54569816228
0.05296758104738,0.08564861473615,0.0020480533459,0.01245143304241,0.00053908830938,0.01015471953187,2.44363927e-06,0.30347870730197,83.44253583145108,2630.5435643895294,1.36044654e-06,0.88591072554486,0.0,0.00324356140363,196933.2531207376
0.05326683291771,0.08559918649104,0.00204998656276,0.01247586605659,0.00054060889619,0.0101722999542,2.4372301e-06,0.30349632838582,83.74010754879514,2630.963988992807,1.36142392e-06,0.88590320386778,0.0,0.00325504951741,196989.778473596
