x,u,Y_OH,Y_HO2,rho,Y_O2,p,Y_N2,Y_H2O,Y_H2,Y_H,Y_AR,Y_H2O2,T,Y_O
0.0272319201995,19.01500193749623,0.01066918605642,3.03318482e-06,0.3369473418762,0.01511127132099,207550.87731799507,0.0,0.08054286723636,0.00231615894872,0.00081278146019,0.88587420747893,0.0,2470.1262691636452,0.00467049431357
0.02753117206983,19.01585760647091,0.01064531706151,3.09985328e-06,0.33638958012174,0.01513573210026,206810.55963150665,0.0,0.08052746720916,0.00231708547457,0.00081615593194,0.88587365508231,0.0,2465.150904665474,0.00468148728697
0.02783042394015,19.05051509026227,0.010636886617,3.1386804e-06,0.33632943497936,0.01516622857699,206555.71810414095,0.0,0.08049677671241,0.0023181904503,0.00081901135123,0.88586552488456,0.0,2462.3294427097335,0.00469424272711
0.02812967581047,18.67017252869173,0.01064318372923,3.1453344e-06,0.33707029258979,0.01519358036917,206982.70210468513,0.0,0.08045422246571,0.00231970461558,0.00082105246009,0.88585885680384,0.0,2461.813838710272,0.004706254222
0.0284289276808,18.14220645799222,0.01064603904171,3.15246567e-06,0.33793731969654,0.01521158730458,207464.59936118592,0.0,0.08041843912499,0.00232124083711,0.00082287126656,0.88586105434519,0.0,2461.054546700143,0.00471561561418
0.02872817955112,18.76957249904817,0.01063750948084,3.17900844e-06,0.33841993522067,0.01522328865031,207575.54765278756,0.0,0.08039996921613,0.00232239212875,0.00082482178526,0.88586619037697,0.0,2458.702263620685,0.00472264935329
0.02902743142145,20.63166277830878,0.01061691652827,3.2309911e-06,0.33831934947698,0.01524071547653,207186.4057597675,0.0,0.08039172451314,0.00232287201727,0.0008273391725,0.88586695903152,0.0,2454.6501634463048,0.00473024226968
0.02932668329177,22.42674544882775,0.01060331614736,3.27571232e-06,0.33821842848673,0.01526803439355,206867.94194605117,0.0,0.08036614244233,0.00232375729574,0.00083024562916,0.88586353499152,0.0,2451.3970215441464,0.00474169338802
0.02962593516209,22.7796294588311,0.010609770697,3.28625775e-06,0.33866230203748,0.0152967281847,207105.13965467943,0.0,0.08030837692015,0.0023258524764,0.00083298844245,0.88586641622768,0.0,2450.7598186422974,0.00475658079387
0.02992518703242,22.35687649658876,0.01062041440151,3.28638822e-06,0.33940893672444,0.01531901243081,207575.56513332351,0.0,0.08025403079409,0.0023280841012,0.00083526031833,0.88586993869667,0.0,2450.711497589909,0.00476997286917
0.03022443890274,22.55295425322236,0.01062405621156,3.2915139e-06,0.34026316071289,0.01533099173853,208054.69156861788,0.0,0.08022722454984,0.00232995214617,0.00083700600644,0.88586906164064,0.0,2450.0167025354513,0.00477841619294
0.03052369077307,24.32373268279878,0.01060987591655,3.32948421e-06,0.34048058525132,0.01534131623827,207931.77467222203,0.0,0.08022242168091,0.00233090876038,0.00083913008555,0.88586814551867,0.0,2446.8274532181786,0.00478487231545
