x,T
0.10013,768.27939
0.09975,1349.21495
0.09954,1771.58355
0.09845,2141.56366
0.09445,2375.72875
0.07823,2578.42008
0.06819,2652.94328
0.06116,2739.07133
0.05882,2589.69805
0.05191,2517.64389
0.05707,2504.36159
0.03889,2551.15107
0.01399,2661.49804
0.02338,2606.13933
0.0052,2741.75102
0.04671,2526.93207
0.08655,2511.32593
0.09983,1024.08539
0.09675,2274.06721
0.09122,2450.16485
0.07315,2611.34621
0.05952,2677.3148
0.06404,2685.11425
0.0311,2578.15861
