x,u,Y_HO2,p,Y_OH,Y_H2O,Y_N2,Y_H,Y_H2O2,rho,Y_O,Y_AR,Y_O2,T,Y_H2
0.00688279301746,14.3480867713588,4.01142859e-06,188405.05895836564,0.01076615823557,0.07826134258931,0.0,0.00095919432491,0.0,0.31319239746383,0.00539775801145,0.88586485065959,0.01632959239107,2399.7184995175826,0.00241709235951
0.00718204488778,15.65528511725476,4.02910496e-06,189130.4849405843,0.0107698846038,0.07820130976839,0.0,0.00096284338273,0.0,0.31447764870973,0.00541491783917,0.8858646215175,0.01636237428956,2398.7907338394534,0.00242001949388
0.0074812967581,15.75318339365237,4.06774713e-06,189239.23412745225,0.01075873186663,0.0781506047436,0.0,0.00096699329148,0.0,0.31499875771726,0.0054316556749,0.88586506094657,0.01640101601697,2395.8950197602417,0.00242186971271
0.00778054862843,14.67021166896384,4.13569691e-06,188652.89412425077,0.01072578548876,0.07811871577278,0.0,0.0009718238053,0.0,0.31473313158922,0.00544676272841,0.88586568528542,0.01644467645496,2390.195524083047,0.00242241476744
0.00807980049875,12.70108542294748,4.22516998e-06,187679.74160293688,0.01067667891785,0.078098982065,0.0,0.00097728107433,0.0,0.31409872470747,0.00546104505361,0.8858671216154,0.01649257060059,2382.37620341874,0.00242209550323
0.00837905236908,10.21796732440475,4.31915706e-06,186862.1869924532,0.01062834673381,0.07806557140163,0.0,0.00098351919325,0.0,0.31376006427061,0.00547961369081,0.88586755916711,0.01654900615767,2374.210978973499,0.00242206449866
0.0086783042394,7.76023641539478,4.40174321e-06,186524.00284153444,0.0105934910886,0.07801321302953,0.0,0.00099027284138,0.0,0.31405439049794,0.0055031594911,0.88586521091589,0.01660668549432,2367.2452456724427,0.00242356539597
0.00897755610973,6.58525059016953,4.47151408e-06,186498.24731881224,0.01056820182233,0.07795899155464,0.0,0.00099669624497,0.0,0.3147149222512,0.00552651396954,0.88586258111325,0.01665661389916,2361.4806468201887,0.00242592988204
0.00927680798005,6.36190792245985,4.52911416e-06,186553.346807719,0.01055088666715,0.07789824584361,0.0,0.00100231820446,0.0,0.31537484479688,0.00554927099964,0.88586318004001,0.01670371581147,2356.8408852352154,0.00242785331951
0.00957605985037,7.46860838219589,4.58093496e-06,186416.28422057643,0.01053323150963,0.07784849171269,0.0,0.00100715945384,0.0,0.3156693142061,0.00556846581338,0.88586435888447,0.01674457043631,2352.58892980003,0.00242914125472
