x,T
0.00223,2586.93171
0.02933,2492.20276
0.0595,2445.5413
0.06314,2613.94064
0.07807,2540.93138
0.09893,2433.86074
0.107,1692.60403
0.11386,750.44456
0.01399,2524.96463
0.04173,2477.36075
0.07139,2569.92381
0.05004,2466.89616
0.08782,2504.54452
0.10469,2281.73205
0.10697,1198.45571
0.02126,2502.49259
0.10638,2109.80645
0.10761,756.80539
