x,gamma
0.00323,1.55076
0.01985,1.55072
0.02099,1.54068
0.0205,1.54608
0.03283,1.54039
0.03455,1.53258
0.03379,1.53597
0.05696,1.53267
0.04588,1.53271
0.06649,1.52774
0.07814,1.52001
0.09227,1.51989
