x,p,T,u,Y_O2,Y_O,Y_AR,Y_N2,Y_H,rho,Y_H2O,Y_OH,Y_H2O2,Y_H2,Y_HO2
0.0002493765586,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00049875311721,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00074812967581,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00099750623441,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00124688279302,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00149625935162,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00174563591022,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00199501246883,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00224438902743,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00249376558603,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00274314214464,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00299251870324,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00324189526185,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00349127182045,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00374064837905,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00399002493766,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00423940149626,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00448877805486,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00473815461347,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00498753117207,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00523690773067,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00548628428928,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00573566084788,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00598503740648,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00623441396509,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00648379052369,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00673316708229,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.0069825436409,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.0072319201995,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.0074812967581,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00773067331671,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
0.00798004987531,8000.0,400.00000000000006,0.0,0.10136213887481,0.0,0.88586543335023,0.0,0.0,0.07593515407978,0.0,0.0,0.0,0.01277242777496,0.0
