x,gamma
-1.2468827930174565E-004,1.5505000178547066
1.2468827930174565E-004,1.5505000178547066
3.7406483790523696E-004,1.5505000178547066
6.2344139650872827E-004,1.5505000178547066
8.7281795511221958E-004,1.5505000178547066
1.1221945137157110E-003,1.5505000178547066
1.3715710723192021E-003,1.5505000178547066
1.6209476309226936E-003,1.5505000178547066
1.8703241895261847E-003,1.5505000178547066
2.1197007481296762E-003,1.5505000178547066
2.3690773067331673E-003,1.5505000178547066
2.6184538653366589E-003,1.5505000178547066
2.8678304239401499E-003,1.5505000178547066
3.1172069825436415E-003,1.5505000178547066
3.3665835411471326E-003,1.5505000178547066
3.6159600997506241E-003,1.5505000178547066
3.8653366583541152E-003,1.5505000178547066
4.1147132169576071E-003,1.5505000178547066
4.3640897755610978E-003,1.5505000178547066
4.6134663341645893E-003,1.5505000178547066
4.8628428927680808E-003,1.5505000178547066
5.1122194513715715E-003,1.5505000178547066
5.3615960099750630E-003,1.5505000178547066
5.6109725685785546E-003,1.5505000178547066
5.8603491271820452E-003,1.5505000178547066
6.1097256857855376E-003,1.5505000178547066
6.3591022443890283E-003,1.5505000178547066
6.6084788029925198E-003,1.5505000178547066
6.8578553615960113E-003,1.5505000178547066
7.1072319201995020E-003,1.5505000178547066
7.3566084788029935E-003,1.5505000178547066
7.6059850374064850E-003,1.5505000178547066
7.8553615960099757E-003,1.5505000178547066
8.1047381546134681E-003,1.5505000178547066
8.3541147132169587E-003,1.5505000178547066
8.6034912718204494E-003,1.5505000178547066
8.8528678304239418E-003,1.5505000178547066
9.1022443890274342E-003,1.5505000178547066
9.3516209476309231E-003,1.5505000178547066
9.6009975062344155E-003,1.5505000178547066
9.8503740648379079E-003,1.5505000178547066
1.0099750623441397E-002,1.5505000178547066
1.0349127182044889E-002,1.5505000178547066
1.0598503740648382E-002,1.5505000178547066
1.0847880299251871E-002,1.5505000178547066
1.1097256857855363E-002,1.5505000178547066
1.1346633416458855E-002,1.5505000178547066
1.1596009975062346E-002,1.5505000178547066
1.1845386533665837E-002,1.5505000178547066
1.2094763092269329E-002,1.5505000178547066
1.2344139650872820E-002,1.5505000178547066
1.2593516209476310E-002,1.5505000178547066
1.2842892768079803E-002,1.5505000178547066
1.3092269326683295E-002,1.5505000178547066
1.3341645885286784E-002,1.5505000178547066
1.3591022443890276E-002,1.5505000178547066
1.3840399002493769E-002,1.5505000178547066
1.4089775561097258E-002,1.5505000178547066
1.4339152119700750E-002,1.5505000178547066
1.4588528678304243E-002,1.5505000178547066
1.4837905236907731E-002,1.5505000178547066
1.5087281795511224E-002,1.5505000178547066
1.5336658354114716E-002,1.5505000178547066
1.5586034912718205E-002,1.5505000178547066
1.5835411471321698E-002,1.5505000178547066
1.6084788029925190E-002,1.5505000178547066
1.6334164588528682E-002,1.5505000178547066
1.6583541147132171E-002,1.5505000178547066
1.6832917705735664E-002,1.5505000178547061
1.7082294264339153E-002,1.5505000178547061
1.7331670822942645E-002,1.5505000178547064
1.7581047381546137E-002,1.5505000178547050
1.7830423940149630E-002,1.5505000178546862
1.8079800498753122E-002,1.5505000178543336
1.8329177057356611E-002,1.5505000178497084
1.8578553615960103E-002,1.5505000178598145
1.8827930174563592E-002,1.5505000175120287
1.9077306733167085E-002,1.5505000101019959
1.9326683291770577E-002,1.5504999090788700
1.9576059850374070E-002,1.5504985010272898
1.9825436408977559E-002,1.5504788610024136
2.0074812967581051E-002,1.5502145275852182
2.0324189526184540E-002,1.5450849716207282
2.0573566084788032E-002,1.5412437736124163
2.0822942643391525E-002,1.5403692837272589
2.1072319201995017E-002,1.5402316748655414
2.1321695760598506E-002,1.5402095966092553
2.1571072319201998E-002,1.5402307406501408
2.1820448877805487E-002,1.5402581258340686
2.2069825436408980E-002,1.5402432973258442
2.2319201995012472E-002,1.5402227202035683
2.2568578553615964E-002,1.5402363336950196
2.2817955112219457E-002,1.5402527035653697
2.3067331670822946E-002,1.5402390476922114
2.3316708229426438E-002,1.5402279362011946
2.3566084788029927E-002,1.5402403331032004
2.3815461346633419E-002,1.5402488573388773
2.4064837905236912E-002,1.5402366714258966
2.4314214463840404E-002,1.5402304434176888
2.4563591022443893E-002,1.5402430624700998
2.4812967581047386E-002,1.5402472641982665
2.5062344139650874E-002,1.5402340193695403
2.5311720698254367E-002,1.5402310506315025
2.5561097256857859E-002,1.5402432405621851
2.5810473815461352E-002,1.5402442758623771
2.6059850374064844E-002,1.5402335137268461
2.6309226932668333E-002,1.5402363074899139
2.6558603491271825E-002,1.5402434360008508
2.6807980049875314E-002,1.5402391590063680
2.7057356608478807E-002,1.5402337399126278
2.7306733167082299E-002,1.5402374693985390
2.7556109725685791E-002,1.5402407028857195
2.7805486284289280E-002,1.5402369456912088
2.8054862842892773E-002,1.5402341411994960
2.8304239401496262E-002,1.5402374465785036
2.8553615960099754E-002,1.5402395540767999
2.8802992518703247E-002,1.5402358341616587
2.9052369077306739E-002,1.5402344169923965
2.9301745635910228E-002,1.5402389563920940
2.9551122194513720E-002,1.5402401244528976
2.9800498753117209E-002,1.5402334155913342
3.0049875311720702E-002,1.5402286548403372
3.0299251870324194E-002,1.5402340353682014
3.0548628428927686E-002,1.5402368659871457
3.0798004987531179E-002,1.5402337540955877
3.1047381546134668E-002,1.5402287287675398
3.1296758104738157E-002,1.5402167632496944
3.1546134663341649E-002,1.5401838162318611
3.1795511221945141E-002,1.5401328195555606
3.2044887780548634E-002,1.5400844082992267
3.2294264339152126E-002,1.5400413578176217
3.2543640897755619E-002,1.5399893102234052
3.2793017456359111E-002,1.5398814422661695
3.3042394014962596E-002,1.5395751444571926
3.3291770573566089E-002,1.5385289277648626
3.3541147132169581E-002,1.5365779382953382
