t,[HO2],Y_H2O2,Y_AR,Y_H,Y_H2O,[O2],Y_HO2,Y_H2,[O],Y_O2,[H2O],[AR],[OH],Y_O,[H],[H2],rho,[N2],Y_OH,[H2O2],Y_N2
2.4e-06,2.8990228234529183e-10,1.1807e-10,0.98117240081936,1.05016e-09,2.37713e-09,0.0001523321162045453,3.282334e-08,0.00210693290619,2.8609122124810632e-11,0.01672062669891,3.84663009370769e-11,0.007159625370138709,2.805470992241836e-11,1.57013e-09,3.037083263539342e-10,0.00030466455905718917,0.2915155718793,0.0,1.63671e-09,1.0119140228079306e-12,0.0
2.4999999999999998e-06,3.0190073684575575e-10,1.27e-10,0.98117240081936,1.1013e-09,2.65371e-09,0.0001523320999078974,3.418183e-08,0.0021069327753,3.061687891369619e-11,0.01672062491012,4.294187001120272e-11,0.007159625370138709,3.0014602348400553e-11,1.68032e-09,3.18498114395509e-10,0.0003046645401303672,0.2915155718793,0.0,1.75105e-09,1.0884482162836213e-12,0.0
2.5999999999999997e-06,3.1389327377265236e-10,1.3617e-10,0.98117240081936,1.15335e-09,2.9492e-09,0.00015233208341191326,3.553965e-08,0.00210693264123,3.267565411631149e-11,0.01672062309945,4.772343739030983e-11,0.007159625370138709,3.202403202391124e-11,1.79331e-09,3.3355107621725266e-10,0.000304664520743714,0.2915155718793,0.0,1.86828e-09,1.1670393197743364e-12,0.0
2.7e-06,3.258797164819947e-10,1.4558e-10,0.98117240081936,1.20632e-09,3.26407e-09,0.0001523320667130398,3.689678e-08,0.0021069325039,3.4785265524036053e-11,0.01672062126651,5.2818608532004807e-11,0.007159625370138709,3.4082827539782516e-11,1.90909e-09,3.4887010383872735e-10,0.0003046645008856617,0.2915155718793,0.0,1.98839e-09,1.2476873332800755e-12,0.0
2.8e-06,3.3786032993976345e-10,1.5521e-10,0.98117240081936,1.26025e-09,3.59879e-09,0.00015233204980735958,3.825325e-08,0.00210693236322,3.694571313686989e-11,0.01672061941087,5.823498889389432e-11,0.007159625370138709,3.6190988896014365e-11,2.02766e-09,3.6446676533818235e-10,0.00030466448054319606,0.2915155718793,0.0,2.11138e-09,1.3302208476329201e-12,0.0
2.8999999999999998e-06,3.4983502582396497e-10,1.6507e-10,0.98117240081936,1.31515e-09,3.95383e-09,0.0001523320326912284,3.960905e-08,0.00210693221913,3.9157179163433464e-11,0.01672061753213,6.398018393358493e-11,0.007159625370138709,3.834834468343888e-11,2.14903e-09,3.8034395273517994e-10,0.0003046644597076411,0.2915155718793,0.0,2.23724e-09,1.4147255674168297e-12,0.0
3e-06,3.6180389245659287e-10,1.7515e-10,0.98117240081936,1.37107e-09,4.32966e-09,0.00015233201536054658,4.096419e-08,0.00210693207155,4.141948139510632e-11,0.01672061562984,7.006179910868331e-11,0.007159625370138709,4.0555237720391896e-11,2.27319e-09,3.965161261275316e-10,0.00030466443836742885,0.2915155718793,0.0,2.36599e-09,1.5011157880478448e-12,0.0
3.1e-06,3.7376710648163404e-10,1.8544e-10,0.98117240081936,1.42802e-09,4.72675e-09,0.00015233199781139662,4.231869e-08,0.00210693192039,4.37328020405089e-11,0.01672061370357,7.648743987679606e-11,0.007159625370138709,4.281183941604132e-11,2.40015e-09,4.1298617753479956e-10,0.00030466441650954496,0.2915155718793,0.0,2.49764e-09,1.589305804942006e-12,0.0
3.2e-06,3.8572466789908874e-10,1.9592e-10,0.98117240081936,1.48602e-09,5.14558e-09,0.00015233198003958772,4.367255e-08,0.00210693176557,4.6097687725502606e-11,0.01672061175286,8.326487351377677e-11,0.007159625370138709,4.511814977038717e-11,2.52994e-09,4.297598909961085e-10,0.0003046643941224215,0.2915155718793,0.0,2.63219e-09,1.6791242089313946e-12,0.0
3.2999999999999997e-06,3.9767666503095036e-10,2.0661e-10,0.98117240081936,1.5451e-09,5.58662e-09,0.00015233196204083796,4.502578e-08,0.00210693160702,4.851450286732837e-11,0.01672060977724,9.040170547723203e-11,0.007159625370138709,4.747502582926903e-11,2.66258e-09,4.4684594257014526e-10,0.0003046643711959364,0.2915155718793,0.0,2.76969e-09,1.7707424091839292e-12,0.0
3.3999999999999996e-06,4.09623097877219e-10,2.1749e-10,0.98117240081936,1.6053e-09,6.05035e-09,0.0001523319438108655,4.637838e-08,0.00210693144465,5.098342967460664e-11,0.01672060777624,9.790570304301542e-11,0.007159625370138709,4.988246759268689e-11,2.79808e-09,4.6425590033515905e-10,0.00030466434771707563,0.2915155718793,0.0,2.91014e-09,1.8639889965316913e-12,0.0
3.5e-06,4.215641430818816e-10,2.2855e-10,0.98117240081936,1.66662e-09,6.53727e-09,0.00015233192534529726,4.773037e-08,0.00210693127839,5.350519698181929e-11,0.01672060574938,1.057849571234744e-10,0.007159625370138709,5.234098928814453e-11,2.93648e-09,4.819897642911497e-10,0.00030466432367571704,0.2915155718793,0.0,3.05357e-09,1.9587782663907216e-12,0.0
3.6e-06,4.334998889669318e-10,2.398e-10,0.98117240081936,1.7291e-09,7.04785e-09,0.00015233190663939587,4.908176e-08,0.00210693110816,5.608016920620723e-11,0.01672060369614,1.1404707317621561e-10,0.007159625370138709,5.4851447961481526e-11,3.0778e-09,5.000591025163666e-10,0.00030466429906029244,0.2915155718793,0.0,3.20003e-09,2.0551959233449797e-12,0.0
3.6999999999999997e-06,4.4543024721037604e-10,2.5122e-10,0.98117240081936,1.79277e-09,7.58261e-09,0.00015233188768878827,5.043254e-08,0.00210693093386,5.870889297363186e-11,0.01672060161604,1.2270046575008046e-10,0.007159625370138709,5.74140150218658e-11,3.22207e-09,5.184725910694967e-10,0.000304664273856342,0.2915155718793,0.0,3.34953e-09,2.153070558226546e-12,0.0
3.8e-06,4.5735548277819495e-10,2.6281e-10,0.98117240081936,1.85764e-09,8.14202e-09,0.0001523318684884638,5.178274e-08,0.00210693075542,6.139246153581595e-11,0.01672059950853,1.3175274030267546e-10,0.007159625370138709,6.002971892430487e-11,3.36935e-09,5.37233121970102e-10,0.00030466424805374346,0.2915155718793,0.0,3.50213e-09,2.2524021710354215e-12,0.0
3.9e-06,4.692755956703885e-10,2.7456e-10,0.98117240081936,1.92375e-09,8.72662e-09,0.00015233184903377608,5.313236e-08,0.00210693057274,6.413105710137998e-11,0.0167205973731,1.4121263501933594e-10,0.007159625370138709,6.269890248713456e-11,3.51965e-09,5.56352263296432e-10,0.0003046642216380368,0.2915155718793,0.0,3.65785e-09,2.353105057187646e-12,0.0
4e-06,4.811905858869567e-10,2.8648e-10,0.98117240081936,1.99112e-09,9.3369e-09,0.0001523318293197144,5.44814e-08,0.00210693038576,6.69257729220467e-11,0.0167205952092,1.5108807899416243e-10,0.007159625370138709,6.542259416536239e-11,3.67303e-09,5.758357990876109e-10,0.00030466419460054586,0.2915155718793,0.0,3.81675e-09,2.4552649212671797e-12,0.0
4.1e-06,4.931007183938803e-10,2.9855e-10,0.98117240081936,2.05977e-09,9.9734e-09,0.000152331809341268,5.582989e-08,0.00210693019437,6.9777337832298e-11,0.01672059301628,1.6138781041249017e-10,0.007159625370138709,6.820130818649212e-11,3.82953e-09,5.956895133827636e-10,0.0003046641669253647,0.2915155718793,0.0,3.97886e-09,2.5587103541061035e-12,0.0
4.2e-06,5.050059048691655e-10,3.1077e-10,0.98117240081936,2.12973e-09,1.063663e-08,0.00015233178909315284,5.717782e-08,0.00210692999849,7.268648066661571e-11,0.01672059079376,1.721200820049136e-10,0.007159625370138709,7.103590159636335e-11,3.98919e-09,6.159220822405769e-10,0.00030466413860092507,0.2915155718793,0.0,4.14423e-09,2.6634413557044174e-12,0.0
4.2999999999999995e-06,5.169064102787931e-10,3.2314e-10,0.98117240081936,2.20104e-09,1.132714e-08,0.0001523317685702671,5.852522e-08,0.00210692979804,7.56542946767226e-11,0.01672058854108,1.8329379377501494e-10,0.007159625370138709,7.392740284998355e-11,4.15207e-09,6.365450737393e-10,0.00030466410961565906,0.2915155718793,0.0,4.31292e-09,2.769457926062121e-12,0.0
4.4e-06,5.288021463007695e-10,3.3565e-10,0.98117240081936,2.27371e-09,1.204547e-08,0.0001523317477672356,5.987208e-08,0.00210692959291,7.868150869710057e-11,0.01672058625765,1.9491768390812944e-10,0.007159625370138709,7.687632617485653e-11,4.31821e-09,6.575613798984952e-10,0.0003046640799536604,0.2915155718793,0.0,4.48496e-09,2.876674360595256e-12,0.0
4.5e-06,5.406932895790819e-10,3.4829e-10,0.98117240081936,2.34777e-09,1.279218e-08,0.00015233172667859207,6.121842e-08,0.00210692938302,8.17690337708519e-11,0.01672058394287,2.0700081422608625e-10,0.007159625370138709,7.988404284432563e-11,4.48766e-09,6.789796767768494e-10,0.0003046640496033611,0.2915155718793,0.0,4.66043e-09,2.985004954719862e-12,0.0
4.6e-06,5.525799284357236e-10,3.6107e-10,0.98117240081936,2.42326e-09,1.356782e-08,0.00015233170529868804,6.256425e-08,0.00210692916827,8.491814535831983e-11,0.01672058159612,2.195520847324676e-10,0.007159625370138709,8.29512384950625e-11,4.66049e-09,7.008115324526117e-10,0.00030466401855030106,0.2915155718793,0.0,4.83937e-09,3.0945354130198984e-12,0.0
4.7e-06,5.644620628706948e-10,3.7398e-10,0.98117240081936,2.50019e-09,1.437297e-08,0.0001523316836218751,6.390957e-08,0.00210692894857,8.812957229398621e-11,0.01672057921678,2.3258088088559658e-10,0.007159625370138709,8.607877017290673e-11,4.83674e-09,7.230598389453443e-10,0.00030466398678146616,0.2915155718793,0.0,5.02183e-09,3.205180030911407e-12,0.0
4.8e-06,5.76339957849976e-10,3.8702e-10,0.98117240081936,2.5786e-09,1.520822e-08,0.00015233166164241364,6.525441e-08,0.00210692872382,9.140440782957386e-11,0.01672057680422,2.4609674996204317e-10,0.007159625370138709,8.926783774203379e-11,5.01647e-09,7.457361643332966e-10,0.0003046639542823963,0.2915155718793,0.0,5.20788e-09,3.316938808394387e-12,0.0
4.9e-06,5.882136133735674e-10,4.0018e-10,0.98117240081936,2.65851e-09,1.607414e-08,0.00015233163935429074,6.659877e-08,0.00210692849392,9.474392742542597e-11,0.01672057435778,2.601089156018835e-10,0.007159625370138709,9.251964106661908e-11,5.19975e-09,7.688462926555932e-10,0.0003046639210386315,0.2915155718793,0.0,5.39759e-09,3.4297260408848783e-12,0.0
4.9999999999999996e-06,6.000831177634623e-10,4.1345e-10,0.98117240081936,2.73997e-09,1.697135e-08,0.0001523316167514936,6.794266e-08,0.00210692825877,9.814922433326535e-11,0.0167205718768,2.746274105364284e-10,0.007159625370138709,9.583486578333428e-11,5.38664e-09,7.924046840100453e-10,0.0003046638870357114,0.2915155718793,0.0,5.591e-09,3.543456023798923e-12,0.0
5.0999999999999995e-06,6.11948647663648e-10,4.2684e-10,0.98117240081936,2.82298e-09,1.790045e-08,0.00015233159382791817,6.92861e-08,0.00210692801827,1.0162120959619433e-10,0.01672056936061,2.8966194386049485e-10,0.007159625370138709,9.921488316552274e-11,5.57719e-09,8.164113383966531e-10,0.00030466385225917626,0.2915155718793,0.0,5.78819e-09,3.65821446172048e-12,0.0
5.199999999999999e-06,6.238102030741243e-10,4.4034e-10,0.98117240081936,2.9076e-09,1.886206e-08,0.00015233157057736936,7.062909e-08,0.00210692777232,1.0516134088317659e-10,0.01672056680853,3.052225483053938e-10,0.007159625370138709,1.0266072166819198e-10,5.77148e-09,8.408836079327904e-10,0.0003046638166945656,0.2915155718793,0.0,5.98922e-09,3.773915650065589e-12,0.0
5.3e-06,6.356678723168849e-10,4.5395e-10,0.98117240081936,2.99383e-09,1.985683e-08,0.00015233154699328768,7.197164e-08,0.0021069275208,1.0877071144593492e-10,0.01672056421984,3.213197420571768e-10,0.007159625370138709,1.061735811555174e-10,5.96957e-09,8.658214926184571e-10,0.0003046637803245277,0.2915155718793,0.0,6.19416e-09,3.890559588834251e-12,0.0
5.4e-06,6.475219203579102e-10,4.6767e-10,0.98117240081936,3.08173e-09,2.088539e-08,0.0001523315230693869,7.331378e-08,0.00210692726362,1.1245059674481256e-10,0.01672056159385,3.379637196654018e-10,0.007159625370138709,1.0975466149167448e-10,6.17153e-09,8.912423445710268e-10,0.0003046637431360481,0.2915155718793,0.0,6.40308e-09,4.008146278026466e-12,0.0
5.5e-06,6.593722588752069e-10,4.8148e-10,0.98117240081936,3.17132e-09,2.194839e-08,0.00015233149879883423,7.46555e-08,0.00210692700066,1.1620227224015278e-10,0.01672055892981,3.5516499931612045e-10,0.007159625370138709,1.1340516254083863e-10,6.37743e-09,9.171519478296248e-10,0.0003046637051117749,0.2915155718793,0.0,6.61605e-09,4.1265043084743154e-12,0.0
5.6e-06,6.712191528347555e-10,4.954e-10,0.98117240081936,3.26263e-09,2.304651e-08,0.00015233147417497906,7.599683e-08,0.00210692673181,1.2002701339229875e-10,0.01672055622699,3.729345846501252e-10,0.007159625370138709,1.1712628416718526e-10,6.58734e-09,9.43558978452937e-10,0.0003046636662358019,0.2915155718793,0.0,6.83314e-09,4.245805089345716e-12,0.0
5.7e-06,6.830626022365561e-10,5.0941e-10,0.98117240081936,3.35569e-09,2.418043e-08,0.00015233144919089744,7.733777e-08,0.00210692645695,1.2392609566159382e-10,0.01672055348463,3.912834793082088e-10,0.007159625370138709,1.2091939764405773e-10,6.80133e-09,9.70472112499651e-10,0.00030466362649077706,0.2915155718793,0.0,7.05443e-09,4.365877211472753e-12,0.0
5.7999999999999995e-06,6.949027837245957e-10,5.2351e-10,0.98117240081936,3.45054e-09,2.535083e-08,0.00015233142383957437,7.867834e-08,0.00210692617598,1.2790115892562206e-10,0.01672055070196,4.102226869311637e-10,0.007159625370138709,1.2478570283563148e-10,7.01949e-09,9.979029180480157e-10,0.0003046635858622403,0.2915155718793,0.0,7.27999e-09,4.486720674855422e-12,0.0
5.899999999999999e-06,7.067397856208678e-10,5.377e-10,0.98117240081936,3.54721e-09,2.655842e-08,0.00015233139811381252,8.001855e-08,0.00210692588877,1.3195329643610633e-10,0.01672054787819,4.2976369661452337e-10,0.007159625370138709,1.2872674242441781e-10,7.24188e-09,1.0258600711567181e-09,0.0003046635443313933,0.2915155718793,0.0,7.50991e-09,4.608335479493726e-12,0.0
6e-06,7.185736962473659e-10,5.5199e-10,0.98117240081936,3.64575e-09,2.780392e-08,0.00015233137200641478,8.135841e-08,0.00210692559521,1.3608396586201028e-10,0.01672054501253,4.499181592720681e-10,0.007159625370138709,1.3274354486542415e-10,7.46858e-09,1.0543580319235694e-09,0.00030466350188233023,0.2915155718793,0.0,7.74425e-09,4.730807329971623e-12,0.0
6.1e-06,7.304047805700707e-10,5.6635e-10,0.98117240081936,3.74617e-09,2.908806e-08,0.00015233134550991052,8.269795e-08,0.00210692529516,1.4029462487229762e-10,0.01672054210416,4.706978876358252e-10,0.007159625370138709,1.3683782425032977e-10,7.69967e-09,1.0833996923681321e-09,0.00030466345849480673,0.2915155718793,0.0,7.98311e-09,4.853879112537236e-12,0.0
6.2e-06,7.422329502669888e-10,5.808e-10,0.98117240081936,3.84852e-09,3.041158e-08,0.00015233131861673807,8.403716e-08,0.00210692498851,1.44587095553173e-10,0.01672053915225,4.921148562560689e-10,0.007159625370138709,1.4101078044331005e-10,7.93525e-09,1.1129995125882178e-09,0.00030466341415291676,0.2915155718793,0.0,8.22656e-09,4.977722236358482e-12,0.0
6.3e-06,7.540584703041007e-10,5.9533e-10,0.98117240081936,3.95284e-09,3.177524e-08,0.0001523312913191536,8.537607e-08,0.00210692467513,1.4896247115635927e-10,0.01672053615595,5.141813633195675e-10,0.007159625370138709,1.4526412753604417e-10,8.17538e-09,1.1431690606620756e-09,0.00030466336883786226,0.2915155718793,0.0,8.4747e-09,5.1022509968514034e-12,0.0
6.4e-06,7.658814290034e-10,6.0993e-10,0.98117240081936,4.05916e-09,3.317981e-08,0.00015233126360941323,8.671469e-08,0.0021069243549,1.5342239155944044e-10,0.01672053311441,5.36909868831336e-10,0.007159625370138709,1.4959906539270762e-10,8.42015e-09,1.1739170126483922e-09,0.000304663322532291,0.2915155718793,0.0,8.7276e-09,5.22737968943204e-12,0.0
6.5e-06,7.777019146868799e-10,6.2461e-10,0.98117240081936,4.16752e-09,3.462607e-08,0.00015233123547931757,8.805303e-08,0.00210692402767,1.5796849664000082e-10,0.01672053002673,5.603129946146362e-10,0.007159625370138709,1.540171366958116e-10,8.66965e-09,1.2052549366254168e-09,0.00030466327521451296,0.2915155718793,0.0,8.98535e-09,5.353194018684352e-12,0.0
6.5999999999999995e-06,7.895200156765344e-10,6.3937e-10,0.98117240081936,4.27796e-09,3.611484e-08,0.0001523312069207583,8.93911e-08,0.00210692369332,1.6260260848424497e-10,0.01672052689202,5.844040097657184e-10,0.007159625370138709,1.5852005553703535e-10,8.92398e-09,1.237194400671399e-09,0.00030466322686717597,0.2915155718793,0.0,9.24805e-09,5.479693984608339e-12,0.0
6.699999999999999e-06,8.013359969383439e-10,6.5419e-10,0.98117240081936,4.39052e-09,3.764691e-08,0.00015233117792553614,9.072893e-08,0.00210692335171,1.6732600255251618e-10,0.01672052370938,6.091956979260914e-10,0.007159625370138709,1.631093645988901e-10,9.18321e-09,1.2697469728645875e-09,0.0003046631774700358,0.2915155718793,0.0,9.51579e-09,5.606708178036081e-12,0.0
6.799999999999999e-06,8.13149946794302e-10,6.6908e-10,0.98117240081936,4.50523e-09,3.922312e-08,0.00015233114848508717,9.206653e-08,0.0021069230027,1.7214050093101907e-10,0.01672052047787,6.347016518284989e-10,0.007159625370138709,1.677864351547192e-10,9.44744e-09,1.3029213292636695e-09,0.00030466312700284844,0.2915155718793,0.0,9.78865e-09,5.7343223035515386e-12,0.0
6.9e-06,8.249620418883955e-10,6.8404e-10,0.98117240081936,4.62215e-09,4.084433e-08,0.00015233111859084763,9.340392e-08,0.00210692264615,1.7704792570595823e-10,0.01672051719655,6.609357878421787e-10,0.007159625370138709,1.7255315270536981e-10,9.71677e-09,1.3367348219860182e-09,0.00030466307544536967,0.2915155718793,0.0,1.006674e-08,5.862536361154712e-12,0.0
7e-06,8.36772282220625e-10,6.9907e-10,0.98117240081936,4.7413e-09,4.251138e-08,0.00015233108823388934,9.47411e-08,0.00210692228191,1.8204973454629742e-10,0.01672051386444,6.879116986998743e-10,0.007159625370138709,1.7741105993335313e-10,9.99128e-09,1.3711932350707588e-09,0.00030466302277590935,0.2915155718793,0.0,1.035015e-08,5.9913503508456e-12,0.0
7.1e-06,8.485808444349771e-10,7.1416e-10,0.98117240081936,4.86274e-09,4.422515e-08,0.0001523310574054662,9.607809e-08,0.00210692190984,1.8714811395548218e-10,0.01672051048058,7.156436244073175e-10,0.007159625370138709,1.823620423395163e-10,1.027109e-08,1.4063139206352652e-09,0.0003046629689742235,0.2915155718793,0.0,1.063899e-08,6.120678568040245e-12,0.0
